equipamento,flange_id,n_pontos,centroid_x,centroid_y,centroid_z,extensao_x,extensao_y,extensao_z
equipamento17,21,2125,4256610.1063,6663642.3829,3172.3562,82.1528,109.5881,106.6689
equipamento17,22,2630,4256475.6535,6663632.22,3165.0551,79.3472,113.405,109.9539
equipamento17,23,682,4257240.429,6662853.6809,2904.7553,112.2041,108.6309,97.021
equipamento17,24,12727,4256824.8156,6663252.1209,2832.9656,289.5903,293.6851,183.4868
equipamento17,25,1359,4256859.2065,6663461.606,2686.7189,89.3989,94.47,87.0
equipamento17,26,1364,4256843.3415,6662283.5942,2684.5133,97.9287,91.603,94.3892
equipamento17,27,9752,4256815.1325,6662451.6923,2819.0262,293.8081,287.2,184.2488
equipamento17,28,2888,4256475.4227,6662503.5816,3004.8664,77.1562,117.5808,108.2449
equipamento17,29,2109,4256609.592,6662493.8075,2997.9747,92.3613,114.502,109.907
equipamento18,0,13283,4258273.4355,6667727.3867,3158.2471,289.6499,211.178,287.293
equipamento18,1,15085,4259357.5257,6667424.8564,3822.7061,178.3,359.4958,358.001
equipamento18,2,1944,4258349.0542,6667004.4844,1354.4533,177.937,124.4521,162.481
equipamento18,3,2106,4258067.1211,6667595.6645,1883.5893,126.8261,128.4231,113.574
equipamento18,4,12500,4257715.1404,6664485.8473,3816.3501,287.142,151.025,296.375
equipamento18,5,2026,4259575.2041,6666992.9729,2207.0953,94.52,91.99,67.397
equipamento18,6,2199,4257818.6772,6666203.3883,3568.2809,95.423,114.1909,112.8269
equipamento18,7,2273,4257426.3407,6666175.0185,3460.33,101.389,90.9302,85.1221
equipamento18,8,11923,4258577.3154,6666073.4876,3848.0661,175.8831,284.0981,282.396
equipamento18,9,7589,4258219.1136,6666077.7768,3835.4256,147.132,286.0929,290.52
equipamento18,10,11318,4257713.3976,6665739.2919,3817.7262,288.181,153.4469,287.728
equipamento18,11,2540,4259569.7614,6666993.677,1929.6231,94.3352,93.1941,79.949
equipamento18,12,1932,4259432.4861,6666294.6891,1278.8119,88.063,93.4832,58.24
equipamento18,13,16173,4257712.2356,6665352.9892,3812.0233,289.369,226.423,289.7041
equipamento18,14,2140,4259550.4211,6665869.8172,1349.0872,91.063,97.686,82.0011
equipamento18,15,2031,4259553.1561,6665871.3038,1462.7689,88.7012,94.743,77.796
equipamento18,16,1837,4259557.0994,6665686.7074,1580.4328,88.261,85.3149,73.0
equipamento18,17,2047,4259560.8438,6665685.7746,1693.4074,73.343,84.7001,79.001
equipamento18,18,532,4258596.9498,6666290.9226,1423.0776,94.291,109.4031,87.608
equipamento18,19,15084,4257958.3333,6665122.0428,3813.4307,165.816,291.372,291.146
equipamento18,20,13871,4257713.6935,6664882.6934,3812.2549,288.525,140.178,301.7891
equipamento18,21,2191,4259565.007,6666994.4087,1705.9763,93.8381,97.615,68.999
equipamento18,22,815,4258925.885,6667003.9002,2164.2069,111.7891,87.843,77.9761
equipamento18,23,1663,4258899.9866,6665858.2542,2170.8989,94.3761,89.454,85.3821
equipamento18,24,2472,4259562.868,6667179.3716,1689.8695,94.4919,92.7788,78.9969
equipamento18,25,2495,4259562.4184,6667181.1646,1577.6711,122.7,91.0781,92.0021
equipamento18,26,1731,4258401.4717,6666431.3016,2896.3323,110.661,120.0171,106.7009
equipamento18,27,1295,4258922.0805,6667003.2595,2690.2384,92.151,88.5278,98.001
equipamento18,28,2448,4258034.5416,6666432.5927,1501.6476,112.054,99.1279,106.88
equipamento18,29,3123,4258026.5331,6665511.2624,1512.3634,134.355,90.8811,128.3351
equipamento18,30,2875,4258023.8683,6665700.3327,1514.8724,130.954,103.179,135.8611
equipamento18,31,1674,4258594.4026,6665849.8277,2763.1074,86.462,93.6949,92.4939
equipamento18,32,2779,4258351.2315,6666046.2817,2044.714,162.479,156.6881,108.5929
equipamento18,33,631,4258031.8651,6666055.6503,1669.4607,109.4741,101.9509,113.92
equipamento18,34,2101,4258896.5183,6665857.7789,2687.8434,93.2141,88.658,90.48
equipamento18,35,11046,4258949.0161,6666055.6938,2817.4634,309.8619,294.291,156.467
equipamento18,36,3224,4258497.1355,6666046.1854,2379.5401,79.4609,153.5189,157.085
equipamento18,37,3058,4258347.3591,6666042.1592,2235.6999,153.205,159.442,110.2549
equipamento18,38,1479,4258144.2587,6666275.0529,1692.5256,77.8879,90.342,87.999
equipamento18,39,1921,4258035.3433,6666273.015,1847.7864,86.91,102.5281,107.125
equipamento18,40,627,4258778.5567,6666806.8438,2790.5025,90.048,165.7222,81.4319
equipamento18,41,8907,4258985.0221,6666801.0246,2831.6365,188.8359,286.7229,205.1169
equipamento19,0,1318,4274339.0396,6652495.7198,1285.7724,118.254,165.194,108.697
equipamento19,1,3069,4274346.1358,6652003.6102,2632.6419,294.485,209.935,290.667
equipamento19,2,809,4275294.1237,6652466.1056,1337.1285,107.5339,173.923,91.7729
equipamento19,3,13719,4274281.219,6653706.1543,1714.5144,287.823,146.442,281.7191
equipamento19,4,19321,4275771.2148,6652581.2458,2868.8312,671.5959,702.599,257.2751
equipamento19,5,3548,4275760.7599,6652019.6655,2606.6664,292.1951,146.165,294.405
equipamento19,6,975,4275149.7136,6652483.2367,1064.6214,107.4912,116.836,101.39
equipamento19,7,1424,4275004.9538,6652497.378,1071.0016,82.032,113.614,105.616
equipamento19,8,7024,4275772.4913,6653690.0281,1692.7802,310.95,167.6221,278.028
equipamento19,9,2524,4273949.9431,6652894.8761,1825.1276,99.192,139.015,113.744
equipamento19,10,898,4276168.749,6652473.8931,1154.6623,76.8381,113.799,107.451
equipamento19,11,1040,4276297.3024,6652463.78,1154.3649,92.094,120.517,106.287
equipamento19,12,677,4276153.9443,6652882.4779,1815.5457,91.3918,122.043,100.9979
equipamento19,13,1987,4275696.0371,6651947.7259,3744.7356,152.02,174.332,165.2571
equipamento19,14,1711,4275780.5206,6651851.6495,3633.0988,167.7439,210.01,123.7271
equipamento19,15,1757,4274350.7328,6651836.2866,3640.9189,152.109,136.174,123.322
equipamento19,16,1940,4274435.4205,6651903.0103,3743.6079,141.506,154.172,174.7788
equipamento19,17,696,4275865.0771,6653297.1764,1692.3209,80.804,109.1891,240.0
equipamento19,18,2543,4275651.2201,6653292.7803,1697.5567,216.9131,131.2001,277.309
equipamento19,19,7761,4275740.9023,6652962.9387,1698.3188,285.7881,304.853,279.1
equipamento19,20,1429,4274439.4805,6653277.0124,1700.7541,228.489,126.496,270.3191
equipamento19,21,615,4274277.2904,6653295.5464,1802.736,96.2849,67.2629,79.7161
equipamento19,22,1552,4274222.9738,6653286.3688,1676.0623,72.411,91.5841,176.093
equipamento19,23,3411,4274413.9617,6652247.3987,2863.7328,467.4601,347.847,226.1792
